"Actrices" 	40.4167047 -3.7035825
"Actrices" 	39.3262345 -4.8380649
"Actrices" 	39.4699014 -0.3759513
"Adam Hills in Gordon St Tonight" 	-37.8858425 145.0070152
"Adam Hills in Gordon St Tonight" 	-37.8142176 144.9631608
"Ade in Britain" 	53.2141028 -2.471770086071205
"Ade in Britain" 	50.416667 -4.75
"Ade in Britain" 	54.6143136 -2.9420983340597866
"Ade in Britain" 	53.1185033 -1.5566179305872212
"Ade in Britain" 	50.75 -3.75
"Ade in Britain" 	50.7968346 -2.4146294055470126
"Ade in Britain" 	50.7968346 -2.4146294055470126
"Ade in Britain" 	51.2474823 0.7105077
"Ade in Britain" 	51.3144088 0.8911894
"Ade in Britain" 	51.2474823 0.7105077
"Ade in Britain" 	53.861171549999995 -2.547111540310474
"Ade in Britain" 	52.666667 -1.0
"Ade in Britain" 	52.666667 1.0
"Ade in Britain" 	54.091592750000004 -1.535911258050148
"Ade in Britain" 	55.25 -2.000559
"Ade in Britain" 	53.07155675 -1.9742007118455929
"Ade in Britain" 	53.1185033 -1.5566179305872212
"Ade in Britain" 	53.1057636 -2.0242837
"Ade in Britain" 	53.3060573 -1.9767331
"Ade in Britain" 	53.0173327 -1.7342725
"Ade in Britain" 	54.7023545 -3.2765753
"Ade in Britain" 	51.161750850000004 -3.0753867062227487
"Ade in Britain" 	51.602821399999996 -3.3335011887178068
"Ade in Britain" 	53.48153335 -1.3810422066149592
"Ade in Britain" 	52.824694199999996 -2.0074546723348115
"Ade in Britain" 	52.8191473 -1.8808933
"Ade in Britain" 	53.01066415 -2.2275790160229243
